generation,best_fitness,mean_fitness,best_escape_rate,mean_escape_rate,detector_recall,retrained
0,0.25901331798428745,0.024171399555524973,0.09375,0.009407996337394644,0.90625,False
1,0.9487315129850495,0.1486406926701246,0.38235294117647056,0.0553500074418016,0.7450980392156863,False
2,1.022413796260894,0.38489831906143296,0.38235294117647056,0.13176425452965435,0.6666666666666666,False
3,1.22876491048428,0.4665798009400502,0.5135135135135135,0.16956045703204725,0.5686274509803921,False
4,1.3858614175597408,0.6532649605292274,0.5681818181818181,0.22489721717120292,0.5757575757575758,True
5,0.47879350587562514,0.033772805052286754,0.10810810810810811,0.00903162586732566,0.8918918918918919,False
6,0.47879350587562514,0.06618074527352881,0.10810810810810811,0.017377039878054067,0.8918918918918919,False
7,0.47879350587562514,0.07016591627425622,0.10810810810810811,0.016332927837745273,0.8918918918918919,False
8,0.5629666569339615,0.07423049827630143,0.11538461538461542,0.015899530794054116,0.8846153846153846,False
9,0.5629666569339615,0.09497182103732088,0.16666666666666663,0.022650030073965165,0.8846153846153846,True
10,0.16205988469982155,0.01275365919464385,0.05555555555555558,0.0038303077781338636,0.9565217391304348,False
11,0.16205988469982155,0.021216065159504402,0.0714285714285714,0.008170175440827612,0.9565217391304348,False
12,0.21949791842829122,0.04968326898146131,0.12,0.017746394192046364,0.95,False
13,0.24938548247436465,0.05446444193925009,0.12,0.01927806263765343,0.95,False
14,0.36265946580911346,0.06384301263990412,0.12,0.01879357043922262,0.9375,True
15,0.21949791842829122,0.017221942199733692,0.06000000000000005,0.004747008547008549,0.95,False
16,0.21949791842829122,0.031801604990663083,0.06000000000000005,0.008385804533630623,0.95,False
17,0.5524596120915644,0.05700774075509856,0.1333333333333333,0.01446049795615013,0.8666666666666667,False
18,0.5524596120915644,0.07425027463389415,0.1333333333333333,0.016156425557960083,0.8666666666666667,False
19,0.5524596120915644,0.08329320694418434,0.1333333333333333,0.019063479572430975,0.8666666666666667,True
